query,answer,,,,
How can studying sewage help track antibiotic resistance around the world?,"Here,  we use metagenomic analysis of untreated sewage to characterize the bacterial resistome from 79 sites in 60 countries",,,,
What evidence supports the two-way traffic of AMR between farms and clinics?,Whole genome sequencing is revealing and beginning to quantify the two-way traffic of AMR bacteria between the farm and the clinic,,,,
Can common flies really spread antibiotic-resistant bacteria?,"Both the diversity and abundance of these genes were higher in concentrate-fed animals. The concentrate-based diet also increased the relative abundance of Proteobacteria, which includes many animal and zoonotic pathogens. Diet has important effects on the complement of AMR genes in the rumen microbial community.",,,,
How can studying sewage help track antibiotic resistance around the world?,"Here, we use metagenomic sequencing to analyse ARGs in 757 sewage samples from 243 cities in 101 countries… Our data furthermore suggest certain geographies are more prone to transmission events and should receive additional attention",,,,"Both the diversity and abundance of these genes were higher in concentrate-fed animals. The concentrate-based diet also increased the relative abundance of Proteobacteria, which includes many animal and zoonotic pathogens. Diet has important effects on the complement of AMR genes in the rumen microbial community."
How does a high-concentrate diet affect antimicrobial resistance genes in cattle?,"Both the diversity and abundance of these genes were higher in concentrate-fed animals. The concentrate-based diet also increased the relative abundance of Proteobacteria, which includes many animal and zoonotic pathogens. ",,,,
Why is 3D bioprinting of bacterial biofilms significant for studying AMR?,We demonstrated 3D bioprinting of thicker biofilms (>4 mm) than found in currently available in vitro models… 3D MRSA and MSSA biofilm constructs were found to show greater resistance to antimicrobials than corresponding two-dimensional (2D) cultures… 3D biofilm constructs containing bacterial biofilms produce a model with much greater clinical relevance compared to 2D culture models and we have demonstrated their use in antimicrobial testing.,,,,
Are wild animals in cities spreading drug-resistant bacteria?,"Urban wildlife carry a high burden of clinically relevant antimicrobial-resistant E coli in Nairobi… Wildlife that interact closely with humans, livestock, and both human and livestock waste within households, are exposed to more antimicrobial resistant phenotypes, and could therefore act as conduits for the dissemination of clinically relevant antimicrobial resistance to the wider environment.”",, and the environment, low phenotypic diversity in wildlife is consistent with the hypothesis that wildlife are a net sink rather than source.,
What approach is needed to understand AMR transmission between humans and livestock?,"We discuss how the use of well-designed, high-resolution genome sequencing studies can improve our understanding of the human-livestock interface… A better understanding of the human-livestock interface will aid in the development of evidence-based and effective One Health interventions that can ultimately reduce the burden of AMR in humans.",,,,
What did the genomic analysis of global sewage samples reveal about resistance gene mobility?,"The genetic environments of 49 common ARGs are highly diverse, with most common ARGs carried by multiple distinct genomic contexts globally and sometimes on plasmids… Analysis of flanking sequence revealed ARG-specific patterns of dispersal limitation and global transmission.",,,,
Did COVID-19 affect how we monitor and research antibiotic resistance?,AMR surveillance and AMS have been deprioritised with diversion of health system resources to the pandemic response… These include the need to implement diagnostic stewardship… Long-term global surveillance of clinical and societal antibiotic use and resistance trends is required,,,,
How does biofilm thickness influence antibiotic resistance in E. coli biofilms?,Thicker 3D E. coli biofilms had greater resistance to tetracycline than thinner constructs over 7 d of treatment.,,,,
What advantage does long-read sequencing provide in AMR studies of complex microbial communities?,The long-read assembly also identifies 94 antimicrobial resistance genes,,,,
How common was antibiotic resistance in healthy people in South Africa in the 1990s?,The overall carriage rate of resistance varied from 88.6% for ampicillin,,,,
What was the main concern regarding antimicrobial resistance in healthy dogs in this study?," a high prevalence of MR- and MDR-CoNS were found in these dogs, even though they had no prior antimicrobial treatment or admission to veterinary premises. These findings are of concern due to the potential for opportunistic infections, zoonotic transmission and transmission of antimicrobial resistant determinant.",,,,
Do vaccines cover the types of pneumococcal bacteria that are resistant to antibiotics?,Both vaccines accounted for 98% of penicillin non-susceptible and 100% of erythromycin non-susceptible isolates.,,,,
What unexpected role does the AcrD efflux pump play in Salmonella beyond antibiotic resistance?,"Inactivation of acrD results in a profoundly altered transcriptome. We found that an acrD mutant Salmonella. was significantly impaired for swarming motility, which was restored by addition of fumarate.",,,,
How is hospital wastewater connected to patterns of antimicrobial resistance?,"ARG and microbiota compositions were correlated (Procrustes analysis, p =0.014). ARG abundance within hospital wastewater did not reflect resistance patterns in clinical isolates from concurrent hospital inpatients.",,,,
How are machine learning methods being used to tackle antimicrobial resistance?,Machine learning-based methods showed promising results and proved capable of providing the necessary tools to inform antimicrobial prescription and combat AMR. a framework for accelerating the use of AMR data-driven framework. is presented.,,,,
What did the governance analysis reveal about antimicrobial resistance action plans worldwide?,"Between 2020 and 2021, the mean antimicrobial resistance governance score was 51 (SD 14)… Norway had the highest governance score (mean 85), and the Federated States of Micronesia had the lowest (28)… The highest scoring domain was participation (83), and the lowest scoring domains were accountability (30) and feedback mechanism (30)… Monitoring and evaluation efforts need improving for continuous understanding of national and international progress",,,,
What antimicrobial resistance patterns were observed in pneumococcal bacteria in Scotland between 1988 and 1999?,"The serotypes/groups included in the 23 and 14-valent polysaccharide vaccines accounted for 96% and 88% of all isolates.  Both vaccines accounted for 98% of penicillin non-susceptible and 100% of erythromycin non-susceptible isolates… The coverage of the 7, 9 and 11-valent conjugate vaccines showed more marked fluctuation with coverage as low as 53%, 60% and 75% in some years.",,,,
How did E. coli resistance differ across Zambian dairy farms?,"Estimated prevalence: tetracycline (10.61%), ampicillin (6.02%), sulfamethoxazole/trimethoprim (4.49%)… Univariate analyses linked resistance with diseases, exotic breeds, farm size, and practices… Multivariate analyses linked lumpy skin disease with resistance, while older animals (>25 months) had a protective effect",,,,
What did the study of veterinarians in Assam reveal about their antibiotic prescribing habits?,"Ceftriaxone, Enrofloxacin, and Oxytetracycline were the antibiotics most frequently prescribed. prescription is mostly based on tentative diagnosis given the lack of diagnostic facilities in most veterinary clinics.",,,,
What were the key findings regarding antimicrobial resistance in primary care settings in Pakistan?,Findings revealed limited understanding of AMR by physicians and community pharmacists along with inappropriate practices. notable prevalence of self-medication with antibiotics.,,,,
What role do host epigenetic changes play in antimicrobial resistance?,"Epigenetic changes, such as the DNA-methylation-based regulation of bacterial mutation rates or bacteria-induced histone modification. facilitate its long-term survival.",,,,
How does the AcrD efflux pump affect Salmonella fitness and behavior beyond antibiotic resistance?,"Inactivation of acrD caused major transcriptome changes, especially in metabolism and stress pathways… acrD mutants showed impaired swarming motility (restored by fumarate) and outcompeted wild type in fitness experiments… AcrD has roles beyond resistance, impacting motility and bacterial physiology.",,,,
What did metagenomic analysis of sewage reveal about links between ARG abundance and socioeconomic factors?,"ARG abundance strongly correlated with socio-economic, health, and environmental factors… Antimicrobial usage was not significantly associated… Country-level indicators from World Bank better explained ARG patterns globally",,,,
Which specific factors in hospitals influenced the abundance of resistance genes in wastewater?,There was a small positive association between resistance genes and antimicrobial usage matched to ARG phenotype. analyzing carbapenem and vancomycin resistance separately indicated that counts of ARGs to these antimicrobials were positively associated with their increased usage,,,,
How can machine learning help fight antibiotic resistance in low-income countries?,"Machine learning can guide antimicrobial prescriptions using clinical, demographic, and lab data… Promising tools exist, but barriers remain, such as data availability, model scalability, and infrastructure in LMICs… A framework is proposed to accelerate ML solutions in resource-limited settings.",,,,
What has COVID-19 taught us about the management of antimicrobial resistance?,COVID-19 disrupted AMR surveillance and stewardship due to diverted resources… Excessive antibiotic use was observed despite low bacterial coinfection rates… The pandemic highlighted system vulnerabilities but also raised public awareness of infectious disease threats—momentum that can be harnessed for AMR.,,,,
What is the focus of proposed host-directed therapies for AMR?,eveloping focused host-directed therapeutic strategies to enhance 'pauci-inflammatory' microbial killing in myeloid phagocytes. while minimizing the harmful consequences of the inflammatory response merits particular attention,,,,
How common are drug-resistant E. coli in urinary tract infections in rural India?,"Among 103 E. coli isolates from UTI patients, 26.2% were ESBL producers and 12.6% were carbapenemase producers… Genes detected include blaCTX-M-15, blaSHV-148, blaPER-1, blaTEM, and blaNDM-1… Many were on conjugable plasmids.",,,,
What genetic element is responsible for multidrug resistance in the 2287 clone of R. equi?,"Attributed to the pRErm46 plasmid carrying erm(46) and rpoBS531F mutation… pRErm46 variants contain sul1, aaA9, and tetRA(33), conferring resistance to sulfonamides, aminoglycosides, and tetracycline.",,,,
What kind of regulation is recommended to improve antibiotic use in poorer countries?,"Smart regulation' can be used to supplement, finetune and improve on more traditional regulatory approaches.",,,,
What is a major human factor influencing antibiotic use in animal farming?,"Severity of clinical symptoms, economic status of the livestock owner, and withdrawal period for ABX were ranked as very important factors for giving ABX",,,,
What factors were found to be stronger predictors of antimicrobial resistance gene abundance than antibiotic use?,Antimicrobial usage was not significantly associated with the global ARG abundance… country-specific World Bank's variables explained a large amount of variation… The importance of the World Bank variables differed between antimicrobial classes and countries,,,,
Why is antibiotic resistance in animals an ethical and ecological issue?,"AMR as an ecological problem of competing populations of microorganisms… Typifying what is described as a ‘One Health’ problem… it is unlikely that the impacts of AMR, and the impacts of efforts to mitigate AMR… will be felt equally across the world.",,,,
What is the advantage of using Hi-C metagenomics in AMR surveillance?,"We describe a method that adds long-read sequencing… Long-read alignments and Hi-C linkage between contigs support the identification of 188 novel virus-host associations… The long-read assembly also identifies 94 antimicrobial resistance genes, compared to only seven alleles in the short-read assembly.",,,,
How can studying sewage help track antibiotic resistance around the world?,"Here, we use metagenomic sequencing to analyse ARGs in 757 sewage samples from 243 cities in 101 countries… Our data furthermore suggest certain geographies are more prone to transmission events and should receive additional attention",,,,
How is Uganda trying to monitor antibiotic resistance?,Uganda is developing a human health AMR surveillance strategy under its 2018 National Action Plan… Focus on GLASS priority pathogens… Initial efforts compare AMR and antimicrobial use (AMU) data to explain trends and performance,,,,
What is a major problem with antibiotic use in Pakistan's primary care?,The findings revealed limited understanding of antimicrobial resistance (AMR) by physicians and community pharmacists along with inappropriate practices in prescribing and dispensing antibiotics.,,,,
How do UK farm vets view diagnostic tests in managing antibiotic use?,The findings identify a considerable ambivalence. regarding the current and future uses of rapid and point-of-care diagnostic tests. to improve clinical diagnosis and addressing inappropriate antibiotic medicine use.,,,,
How might epigenetic changes contribute to antimicrobial resistance?,"Epigenetic changes, such as the DNA-methylation-based regulation of bacterial mutation rates or bacteria-induced histone modification in human epithelial cells, facilitate its long-term survival.",,,,
What is the title of the study concerning masuring AMR in untreated sewage?,Global monitoring of antimicrobial resistance based on metagenomics analyses of urban sewage,,,,
