source_pdf,authors,year,title,journal,pmid,doi
Edinburgh Infectious Diseases publications 2011 2.pdf,Picozzi,2011,"The best practice for preparation of 
samples from FTA(R)cards for diagnosis of blood borne infections using African trypanosomes as a model 
system",Parasit Vectors,27825733,"DOI:
    
  

      10.1016/j.ttbdis.2016.10.016"
Edinburgh Infectious Diseases publications 2011 2.pdf,Archibald,2011,"Host inhibits replication of European porcine 
reproductive and respiratory syndrome v irus in macrophages by altering differential regulation of type -I 
interferon transcriptional response",Immunogenetics,39194214,"DOI:
    
  

      10.1128/jvi.00784-24"
Edinburgh Infectious Diseases publications 2011 2.pdf,Pettit,2011,"Osteal macrophages promote in vivo intramembranous bone healing in a 
mouse tibial injury model",J Bone Miner Res,29107337,"DOI:
    
  

      10.1016/j.biomaterials.2017.10.033"
Edinburgh Infectious Diseases publications 2011 2.pdf,Inglehearn,2011,"Mpdz null allele in an  avian model of retinal degeneration and mutations in human leber 
congenital amaurosis and retinitis pigmentosa",Invest Ophthalmol Vis Sci,22159006,"DOI:
    
  

      10.1167/iovs.11-8591"
Edinburgh Infectious Diseases publications 2011 2.pdf,Ricardo,2011,"Colony -stimulating factor -1 
promotes kidney growth and repair v ia alteration of macrophage responses",Am J Pathol,25388222,"DOI:
    
  

      10.1681/ASN.2014060612"
Edinburgh Infectious Diseases publications 2011 2.pdf,Roenneberg,2011,"A K(ATP) channel gene effect on sleep duration: from 
genome -wide association studies to  function in Drosophila",Mol Psychiatry,19952277,"DOI:
    
  

      10.1152/physiolgenomics.00173.2009"
Edinburgh Infectious Diseases publications 2011 2.pdf,Little,2011,Identifying energy constraints to parasite resistance,J Evol Biol,21210532,"DOI:
    
  

      10.1111/j.1420-9101.2010.02152.x"
Edinburgh Infectious Diseases publications 2011 2.pdf,Maizels,2011,Diversity and dialogue in immunity to helminths,Nat Rev Immunol,21292555,"DOI:
    
  

      10.1016/j.pt.2011.01.001"
Edinburgh Infectious Diseases publications 2011 2.pdf,Wynn,2011,"Evolution of Th2 immunity: a rapid repair response to tissue destructive 
pathogens",PLoS Pathog,31285249,"DOI:
    
  

      10.1128/IAI.00127-19"
Edinburgh Infectious Diseases publications 2011 2.pdf,Uttaro,2011,"Stearoyl -CoA desaturase is an essential enzyme for the parasitic protist Trypanosoma 
brucei",Biochem Biophys Res Commun,21151902,"DOI:
    
  

      10.1371/journal.pone.0014239"
Edinburgh Infectious Diseases publications 2011 2.pdf,Digard,2011,"A Rab11 - and 
microtubule -dependent mechanism for cytoplasmic transport of influenza A virus viral RNA",J Virol,21307188,"DOI:
    
  

      10.1128/JVI.02606-10"
Edinburgh Infectious Diseases publications 2011 2.pdf,Welburn,2011,"Characterisation of the wildlife reservoir community for human and animal trypanosomiasis in the Luangwa 
Valley, Zambia",PLoS Negl Trop Dis,20333288,"DOI:
    
  

      10.3347/kjp.2010.48.1.67"
Edinburgh Infectious Diseases publications 2011 2.pdf,Ferrantini,2011,"MHV -68 producing mIFNalpha1 is severely attenuated in vivo and 
effectively protects mice against chal lenge with wt MHV -68",Vaccine,15063566,"DOI:
    
  

      10.1016/j.vaccine.2003.10.015"
Edinburgh Infectious Diseases publications 2011 2.pdf,Jensen,2011,"Antigenic Variation and the Genetics and Epigenetics of the PfEMP1 
Erythrocyte Surface Antigens in Plasmodium falciparum Malaria",Adv Appl Microbiol,11776131,
Edinburgh Infectious Diseases publications 2011 2.pdf,Bengtsson,2011,"The progression of the intra -erythrocytic cell cycle of 
Plasmodium falciparum and the role of the centriolar plaques in asynchronous mitotic division during 
schizogony",Int J Parasitol,39235260,"DOI:
    
  

      10.1128/msphere.00465-24"
Edinburgh Infectious Diseases publications 2011 2.pdf,Huntley,2011,"Genome -wide transcriptomic analysis of intestinal tissue to assess the impact of nutrition and a secondary 
nematode challenge in lactating rats",PLoS One,35264261,"DOI:
    
  

      10.1017/S0031182021001876"
Edinburgh Infectious Diseases publications 2011 2.pdf,Woolhouse,2011,"Modelling 
Marek's disease virus (MDV) infection: parameter estimates for mortality rate and infectiousness","BMC Vet 
Res",15327791,"DOI:
    
  

      10.1016/j.vetmic.2004.06.007"
Edinburgh Infectious Diseases publications 2011 2.pdf,Concepcion,2011,"Enolase: a key player in the metabolism and a probable virulence factor of trypanosomatid 
parasites -perspectives for its use as a therap eutic target",Enzyme Res,23834165,"DOI:
    
  

      10.2174/09298673113209990139"
Edinburgh Infectious Diseases publications 2011 2.pdf,Smith,2011,"Temporally structured 
metapopulation dynamics and per sistence of influenza A H3N2 virus in humans",Proc Natl Acad Sci U S A,18420927,"DOI:
    
  

      10.1126/science.1154137"
Edinburgh Infectious Diseases publications 2011 2.pdf,Tree,2011,Screening of an E,"coli O157:H7  
Bacterial Artificial Chromosome Library by Comparative Genomic Hybridization to Identify Genomic Regions 
Contributing to Growth in Bovine Gastrointestinal Mucus and Epithelial Cell Colonization",34534465,"DOI:
    
  

      10.1016/j.cell.2021.08.023"
Edinburgh Infectious Diseases publications 2011 2.pdf,Faulkner,2011,"Somatic retrotransposition alters the genetic landscape of the human 
brain",Nature,21636526,"DOI:
    
  

      10.1093/hmg/ddr245"
Edinburgh Infectious Diseases publications 2011 2.pdf,Nisbet,2011,"GTPcyclohydrolase and development in Teladorsagia circumcincta and Dictyocaulus viviparus (Nematoda: 
Strongylida)",Exp Parasitol,22884628,"DOI:
    
  

      10.1016/j.ijpara.2012.06.005"
Edinburgh Infectious Diseases publications 2011 2.pdf,Kaiser,2011,"Production and characterisation of monoclonal antibodies specific for 
chicken interleukin -12",Vet Immunol Immunopathol,38848631,"DOI:
    
  

      10.1016/j.psj.2024.103872"
Edinburgh Infectious Diseases publications 2011 2.pdf,Fitzgerald,2011,"Genomic and surface 
proteomic analysis of the canin e pathogen Staphylococcus pseudintermedius reveals proteins that mediate 
adherence to the extracellular matrix",Infect Immun,30181348,"DOI:
    
  

      10.1128/IAI.00631-18"
Edinburgh Infectious Diseases publications 2011 2.pdf,S abin,2011,"Outcomes in the first year after initiation of first -line HAART among 
heterosexual men and women in the UK CHIC Study",Antivir Ther,26900702,"DOI:
    
  

      10.1371/journal.pone.0148915"
Edinburgh Infectious Diseases publications 2011 2.pdf,Donis,2011,"Antiviral activity and increased host defense against influenza infection elicited by the human cathelicidin 
LL37",PLoS One,24091294,"DOI:
    
  

      10.1016/j.molimm.2013.08.011"
Edinburgh Infectious Diseases publications 2011 2.pdf,E,2011,(Re)solution of a protein fold without solution,Angew Chem Int Ed Engl,21370366,"DOI:
    
  

      10.1002/anie.201007231"
Edinburgh Infectious Diseases publications 2011 2.pdf,Zengerle,2011,Active -Metal Template Synthesis of a Molecular Trefoil Knot,Angew Chem Int Ed Engl,21919173,"DOI:
    
  

      10.1002/anie.201105012"
Edinburgh Infectious Diseases publications 2011 2.pdf,Gow,2011,"A quadrigeminal dermoid cyst with concurrent necrotizing 
granulomatous leukoencephalomyelitis in a Yorkshire Terrier dog",J Vet Diagn Invest,22262353,"DOI:
    
  

      10.1177/0300985811429311"
Edinburgh Infectious Diseases publications 2011 2.pdf,Henderson,2011,Genome sequence of the eme rging pathogen Aeromonas caviae,J Bacteriol,20238084,"DOI:
    
  

      10.1007/978-1-60327-367-1_12"
Edinburgh Infectious Diseases publications 2011 2.pdf,Oparka,2011,Imaging plasmodesmata,Protoplasma,21072547,"DOI:
    
  

      10.1007/s00709-010-0233-6"
Edinburgh Infectious Diseases publications 2011 2.pdf,Fitzgerald,2011,"Complete genome 
sequence of the canine pathogen Staphylococcus pseudintermedius",J Bacteriol,21398539,"DOI:
    
  

      10.1128/JB.00137-11"
Edinburgh Infectious Diseases publications 2011 2.pdf,Chianini,2011,"Development of lesions and tissue distribution of parasite in lambs orally infected with sporulated oocysts of 
Toxoplasma gondii",Vet Parasitol,30662874,"DOI:
    
  

      10.3389/fcimb.2018.00436"
Edinburgh Infectious Diseases publications 2011 2.pdf,Solomon,2011,"Human parvovirus 4 as potential cause of encephalitis in children, India",Emerg Infect Dis,21801629,"DOI:
    
  

      10.3201/eid1708.110165"
Edinburgh Infectious Diseases publications 2011 2.pdf,Simmonds,2011,"Rapid simultaneous detection of enterovirus and parechovirus RNAs in 
clinical samples by one -step real -time reverse tran scription -PCR assay",J Clin Microbiol,23175256,"DOI:
    
  

      10.1128/JCM.01982-12"
Edinburgh Infectious Diseases publications 2011 2.pdf,Read,2011,Actin organization and dynamics in filamentous fungi,"Nat Rev 
Microbiol",22048737,"DOI:
    
  

      10.1038/nrmicro2666"
Edinburgh Infectious Diseases publications 2011 2.pdf,Barran,2011,"Metal binding to 
a zinc -finger peptide: a comparison between solution and the gas phase",Chem Commun (Camb),21105707,"DOI:
    
  

      10.1021/ja104992h"
Edinburgh Infectious Diseases publications 2011 2.pdf,Woolliams,2011,"Evidence for genetic variance in resista nce to tuberculosis in Great Britain and Irish Holstein -Friesian 
populations",BMC Proc,19528623,"DOI:
    
  

      10.3168/jds.2008-1848"
Edinburgh Infectious Diseases publications 2011 2.pdf,Lemey,2011,"SPREAD: spatial phylogenetic reconstruction of 
evolutionary dynamics",Bioinformatics,21911333,"DOI:
    
  

      10.1093/bioinformatics/btr481"
Edinburgh Infectious Diseases publications 2011 2.pdf,Giuffra,2011,"Using SNP array data to test for host genetic and 
breed effects on Porcine Reproductive and Respiratory Syndrome Viremia",BMC Proc,29776610,"DOI:
    
  

      10.1016/j.vetimm.2018.04.007"
Edinburgh Infectious Diseases publications 2011 2.pdf,Gay,2011,"Report from the second international 
symposium on animal genomics for animal health: critical needs, challenges and potential solutions","BMC 
Proc",18817334,"DOI:
    
  

      10.1159/000317192"
Edinburgh Infectious Diseases publications 2011 2.pdf,Walkinshaw,2011,Targeting FKBP isoforms with small -molecule ligands,"Curr Opin 
Pharmacol",21803654,"DOI:
    
  

      10.1016/j.coph.2011.04.007"
Edinburgh Infectious Diseases publications 2011 2.pdf,Ghazal,2011,"Host defens e against viral infection involves interferon mediated downregulation of sterol 
biosynthesis",PLoS Biol,7561678,"DOI:
    
  

      10.1084/jem.182.4.1045"
Edinburgh Infectious Diseases publications 2011 2.pdf,Dimmeler,2011,"Jumonji domain -containing protein 6 (Jmjd6) is required for angiogenic sprouting and 
regulates splicing of VEGF -receptor  1",Proc Natl Acad Sci U S A,26819475,"DOI:
    
  

      10.1095/biolreprod.115.134460"
Edinburgh Infectious Diseases publications 2011 2.pdf,Sanchez -Martin,2011,"Novel strategy for 
microsphere -mediated DNA transfection",Bioconjug Chem,21899351,"DOI:
    
  

      10.1021/bc200289n"
Edinburgh Infectious Diseases publications 2011 2.pdf,Critchley,2011,"Attenuated tubal and endometrial urocortin 1 and corticotropin -releasing hormone receptor expression in 
ectopic pregnancy",Reprod Sci,21289256,"DOI:
    
  

      10.1210/jc.2010-2263"
Edinburgh Infectious Diseases publications 2011 2.pdf,Reuter,2011,"Novel positive -sense, single -stranded RNA (+ssRNA) 
virus with di -cistronic genome from intestinal content of freshwater carp (Cyprinus carpio)",PLoS One,25488292,"DOI:
    
  

      10.1007/s00705-014-2304-z"
Edinburgh Infectious Diseases publications 2011 2.pdf,Mutapi,2011,"Acquired immune heterogeneity and its sources in human 
helminth infection",Parasitology,9988307,"DOI:
    
  

      10.1046/j.1365-3024.1998.00182.x"
Edinburgh Infectious Diseases publications 2011 2.pdf,Hart,2011,"Copy number variation of FCGR3B is associated with susceptibility to idiopathic 
pulmonary fibrosis",Respiration,21109729,"DOI:
    
  

      10.1159/000321997"
Edinburgh Infectious Diseases publications 2011 2.pdf,Bradley,2011,"Dynamic chemistry for enzymefree 
allele discrimination in genotyping by MALDI -TOF mass spectrometry",Anal Methods -Uk,,
Edinburgh Infectious Diseases publications 2011 2.pdf,Mabbott,2011,"Defining the anatomical localisation of 
subsets of the murine mononuclear phagocyte system using integrin alpha X (Itgax, CD11c) and colony 
  
The University of Edinburgh is a charitable body, registered in Scotland, with registration number SC005336  
stimulating factor 1 receptor (Csf1r, CD115) expression fails to discriminate dendritic cells from macrophages",Immunobiology,33139489,"DOI:
    
  

      10.4049/jimmunol.2000835"
Edinburgh Infectious Diseases publications 2011 2.pdf,Michels,2011,"Autophagy in 
parasitic protists: unique features and drug targets",Mol Biochem Parasitol,21315770,"DOI:
    
  

      10.1016/j.molbiopara.2011.02.003"
