file,title,authors,year,journal_info,doi,pmid,match_confidence
Test 2016.pdf,"Antibody levels against GLURP R2, MSP1 block 2 hybrid and AS202","Theisen, M., Sirima, S.B., et al.",2016,"11 
and the risk of malaria in children li ving in hyperendemic (Burkina Faso) and hypo -endemic (Ghana) areas.",,,0
Test 2016.pdf,Genome -Wide Diversity and Phylogeography of Mycobacterium avium subsp,"D.F., Fecteau, G., et al.",2016,paratuberculosis in Canadian Dairy Catt le.,10.1371/journal.pone.0149017,,0.7582417582417582
Test 2016.pdf,". Genotypic assessment of drug -resistant tuberculosis in 
Baghdad and other Iraqi provinces using low -cost and low -density DNA microarrays. Journal of medical 
microbiology 65, 114 -122","J. K., Laurenson, I.F., and Bachmann, T.T.",2016,,10.1099/jmm.0.000203,,0.8359133126934984
Test 2016.pdf,"A Multi -Host Agent -Based Model for a Zoonotic, Vector -Borne Disease",P .M.,2016,"A Case Study on 
Trypanosomiasis in Eastern Province, Zambia.",10.1371/journal.pntd.0005252,,0.6767676767676768
Test 2016.pdf,". Resting and injury -induced inflamed periosteum contain multiple macrophage subsets that are 
located at sites of bone growth and regen eration. Immunol Cell Biol 95, 7-16","Alexander, K.A., Raggatt, L.J., Millard, S., Batoon, L., Chiu -Ku Wu, A., Chang, M.K., Hume, D.A., and Pettit, A.R.",2017,,10.1038/icb.2016.74,,0.8881789137380192
Test 2016.pdf,Quality standards for the management of bronchiectasis in Italy: a national audit,"J.D., and Blasi, F.",2016,"Eur 
Respir J 48, 244 -248.",10.1183/13993003.00232-2016,,1.0
Test 2016.pdf,Neurodegeneration.,"Alibhai, J., Blanco, R.A., Barria, M.A., Piccardo, P ., Caughey, B., Perry, V.H., Freeman, T.C., and Manson, J.C.",2016,". PLoS Biol 14, e1002579.",10.1007/978-1-61779-328-8,,0.9714285714285714
Test 2016.pdf,". Quorum sensing protects bacterial co -operation 
from exploitation by cheats. The ISME journal 10(7) , 1706 -1716","Allen, R.C., McNally, L., Popat, R., and Brown, S.P .",2016,,10.1038/ismej.2015.232,,0.783068783068783
Test 2016.pdf,"Notes from The Field: Ebola Virus Disease Cluster - Northern Sierra Leone, January 2016","Alpren, C., Sloan, M., Boegler, K.A., Martin, D.W., Ervin, E., Washburn, F., Rickert, R., Singh, T., and Redd, J.T.",2016,MMWR.,10.15585/mmwr.mm6526a4,,0.9885057471264368
Test 2016.pdf,species infections in Zimbabwean population.,"Amanfo, S.A., Mduluza, T., Midzi, N., Cavanagh, D.R., and Mutapi, F.",2016,". Malaria journal 15, 267.",10.1186/s12936-016-1325-3,27165412,0.7288135593220338
Test 2016.pdf,Genetic variants in RBFOX3 are associated with sleep latency,"van Mill, J.G., Mbarek, H., et al.",2016,"European journal of human genetics :  EJHG 24, 1488 -1495.",10.1038/ejhg.2016.31,,1.0
Test 2016.pdf,Editorial,"Amyes, S.G.",2016,"International journal of infectious diseases : IJID : official publication of the 
International Society for Infectious Diseases.",10.15460/apropos.13.2342,,1.0
Test 2016.pdf,Corrigendum to 'Editorial' [International Journal of Infectious Diseases 50 (2016) 83 -84],"Amyes, S.G.",2016,"International journal of infectious diseases : IJID : official publication of the International Society for Infectious 
Diseases 51, 109.",10.1016/j.ijid.2016.09.024,,0.9608938547486033
Test 2016.pdf,". Pangenome 
and Phylogenomic Analysis of the Pathogenic Actinobacterium Rhodococcus equi. Genome biology and 
evolution 8, 3140 -3148","Anastasi, E., MacArthur, I., Scortti, M., Alvarez, S., Giguere, S., and Vazquez -Boland, J.A.",2016,,10.1093/gbe/evw222,,0.7610619469026548
Test 2016.pdf,A strategy to discover new organizers identifies a putative heart organizer,"Stern, C.D.",2016,"Nat Commun 7,",10.1038/ncomms12656,,1.0
Test 2016.pdf,". 
Ecological Monitoring and Health Research in Luambe National Park, Zambia: Generation of Baseline Data 
Layers. EcoHealth 13, 511 -524","16. Anderson, N.E., Bessell, P .R., Mubanga, J., Thomas, R., Eisler, M.C., Fevre, E.M., and Welburn, S.C.",2016,,10.1007/s10393-016-1131-y,,0.8861788617886179
Test 2016.pdf,". Evolution of elaborate parental care: phenotypic and 
genetic correlations between parent and offspring traits. Behavioral ecology : official journal of the 
International Society for Behavioral Ecology 28, 39-48","Andrews, C.P ., Kruuk, L.E., and Smiseth, P .T.",2017,,10.1093/beheco/arw129,28127224,0.6749226006191951
