title,doi
Global monitoring of antimicrobial resistance based on metagenomics analyses of urban sewage,https://doi.org/10.1038/s41467-019-08853-3
"Antimicrobial resistance in humans, livestock and the wider environment",https://doi.org/10.1098/rstb.2014.0083
Achieving global targets for antimicrobial resistance,https://doi.org/10.1126/science.aaf9286
Sources of Antimicrobial Resistance,https://doi.org/10.1126/science.1243444
Using sewage for surveillance of antimicrobial resistance,https://doi.org/10.1126/science.aba3432
Policy: An intergovernmental panel on antimicrobial resistance,https://doi.org/10.1038/509555a
Global governance of antimicrobial resistance,https://doi.org/10.1016/s0140-6736(18)31117-6
The role of ‘filth flies’ in the spread of antimicrobial resistance,https://doi.org/10.1016/j.tmaid.2018.02.007
The rumen microbiome as a reservoir of antimicrobial resistance and pathogenicity genes is directly affected by diet in beef cattle,https://doi.org/10.1186/s40168-017-0378-z
PERSPECTIVE: Evolutionary biology and the avoidance of antimicrobial resistance,https://doi.org/10.1111/j.1752-4571.2008.00066.x
Genomic analysis of sewage from 101 countries reveals global landscape of antimicrobial resistance,https://doi.org/10.1038/s41467-022-34312-7
3D bioprinting of mature bacterial biofilms for antimicrobial resistance drug testing,https://doi.org/10.1088/1758-5090/ab37a0
Key considerations on the potential impacts of the COVID-19 pandemic on antimicrobial resistance research and surveillance,https://doi.org/10.1093/trstmh/trab048
Clinically relevant antimicrobial resistance at the wildlife–livestock–human interface in Nairobi: an epidemiological study,https://doi.org/10.1016/s2542-5196(19)30083-x
Quantifying the transmission of antimicrobial resistance at the human and livestock interface with genomics,https://doi.org/10.1016/j.cmi.2020.09.019
Antimicrobial resistance research in a post-pandemic world: Insights on antimicrobial resistance research in the COVID-19 pandemic,https://doi.org/10.1016/j.jgar.2021.02.013
Assignment of virus and antimicrobial resistance genes to microbial hosts in a complex microbial community by combined long-read assembly and proximity ligation,https://doi.org/10.1186/s13059-019-1760-x
The prevalence of antimicrobial resistance in human faecal flora in South Africa,https://doi.org/10.1017/s0950268800056922
"Measuring the global response to antimicrobial resistance, 2020–21: a systematic governance analysis of 114 countries",https://doi.org/10.1016/s1473-3099(22)00796-4
